Name,Website,Description,Growth Score,Mindshare Score,Weekly Momentum,Employee Count,Employee Count Last Month,Employees Added This Month,Employee Growth Last Mo,Employee Count 6 Months Ago,Employees Added Last 6 Months,Employee Growth Last 6 Months,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Months Since Last Funding,Employees Added Since Last Funding,New Person Months Since Last Funding,New Funding Employee Growth,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Continent,Business Models,Industries,Keywords,Has Mobile App,Has Google Play App,Has iTunes App
Mimosa,mimosa.co,"Mimosa believes that wireless should be an incredibly scalable solution that can be used to bring gigabit speeds to any type of community worldwide. Mimosa builds outdoor gigabit wireless platforms for service providers demanding the same capacity, speed and reliability as fiber.",226,114,121,109,107,2,2%,102,7,7%,"5,466","5,660",-3%,"5,296",3%,,,,,,33,77,1444,13296.4,2012,C,"New Enterprise Associates,Oak Investment Partners",$37.2M,2014-05-21,"$19,200,000",Santa Clara,Santa Clara,Bay Area,,United States,North America,B2B,"communications equipment,data storage,hardware,hardware peripherals,information security,mobile,security,storage,telecommunications",wireless,No,No,No
AMEC,amec-inc.com,"AMEC provides consultancy, engineering and project management services to the oil and gas, minerals and metals, and clean energy markets.",223,223,457,,,,,,,,64,65,-2%,23,178%,,,,,,100,,,0,,C,"Bay Partners,Global Catalyst Partners,Goldman Sachs,InterWest Partners,Lightspeed Venture Partners,Qualcomm,Redpoint Ventures,Samsung Ventures,Walden International",$101.0M,2008-10-22,"$58,000,000",Cingapore,Cingapore,,,China,Asia,B2B,"hardware,hardware peripherals,semiconductors",,No,No,No
Ayla Networks,aylanetworks.com,Ayla's Internet of Things (IoT) Enterprise Software Platform enables manufacturers and service providers to bring connected products to market quickly and securely.,217,70,1083,137,133,4,3%,116,21,18%,"5,222","5,210",0%,"4,794",9%,,,,,,8,24,109,357798.17,2010,C,"3NOD,Acorn Campus Ventures,Alliance Advisory,Ants Capital,Cisco Investments,Crosslink Capital,International Finance Corporation (IFC),Linear Venture,Mitsui & Co,SAIF Partners,SJF Ventures,THE WORLD BANK GROUP,Voyager Capital",$69.4M,2016-06-28,"$39,000,000",Santa Clara,Santa Clara,Bay Area,CA,United States,North America,B2B,"data storage,hardware,information security,internet of things,security,storage",,No,No,No
Plex Systems,plex.com,"Provides enterprise resource protocol and cloud services for manufacturing automation for companies in aerospace and defense, food and beverage. and motor vehicles.",208,50,5,474,469,5,1%,471,3,1%,"217,380","216,283",1%,"209,417",4%,,,,,,33,114,3237,15446.4,1995,C,"Accel Partners,Apax Partners,Francisco Partners",$86.0M,2014-06-10,"$50,000,000",Detroit,Auburn Hlls,Detroit,MI,United States,North America,B2B,"data storage,enterprise software,hardware,hardware peripherals,human resources hr,information security,security,storage",,No,No,No
ecobee,ecobee.com,ecobee creates smarter wi-fi thermostats to help you be more comfortable while saving money and conserving energy.,202,-95,74,162,152,10,7%,121,41,34%,"454,835","452,523",1%,"426,084",7%,50,39,28%,,,7,42,159,220125.79,2007,C,"Amazon,Relay Ventures,Tech Capital Partners,The Ontario Capital Growth,Thomvest Ventures",$42.5M,2016-08-18,"$35,000,000",Toronto,Toronto,,ON,Canada,North America,B2C,"consumer electronics,e-commerce,hardware,internet of things,mobile","tablets,wireless",Yes,Yes,Yes
Athos,liveathos.com,Smart performance apparel that analyzes muscle activity and heart rate biosignals to provide unparalleled insights on the quality of every workout helping you perform your best.,197,197,0,80,81,-1,-1%,81,-1,-1%,"30,093","38,590",-22%,"49,972",-40%,,,,,,16,-3,133,266917.29,2012,C,"DCM Ventures,Felix Capital,Lightspeed Venture Partners,MAS Holdings,Social Capital,True Ventures",$51.0M,2015-11-18,"$35,500,000",Bay Area,Redwood City,Bay Area,CA,United States,North America,B2C,"fashion,fitness and wellness,hardware,human resources hr,internet of things,wearables","fashion,fitness,health & wellness,quantified self",No,No,No
CradlePoint Technology,cradlepoint.com,"CradlePoint provides 3G and4G network solutions for businesses including enterprise branches, retail POS, M2Ms and small businesses.",196,196,847,418,414,4,1%,397,21,5%,"42,404","41,397",2%,"37,402",13%,,,,,,0,0,,0,2006,C,"Delta-v Capital,Highway 12 Ventures,Mercato Partners,OVP Venture Partners,Sorenson Capital,Technology Crossover Ventures,The Caprock Group",$152.8M,2017-03-09,"$89,000,000",Boise,Boise,,ID,United States,North America,B2B,"communications equipment,data storage,hardware,human resources hr,information security,security,storage",,No,No,No
Alphabet Energy,alphabetenergy.com,Alphabet Energy is a leading innovator in the field of waste heat recovery and manufactures the world's first low cost thermoelectric generator.,190,164,-98,36,35,1,3%,33,3,9%,583,613,-5%,467,25%,,,,,,8,5,26,903846.15,2009,C,"CalCEF Clean Energy Angel Fund,Claremont Creek Ventures,EnCana,GM Ventures,Hercules Technology Growth Capital,Osceola Capital Management,Schlumberger,TPG Biotech,TPG Capital",$54.5M,2016-07-13,"$23,500,000",Bay Area,Hayward,Bay Area,CA,United States,North America,B2B,"agriculture,automotive,cleantech,energy,hardware,hardware peripherals,solar power,wind power",,No,No,No
Varioptic,varioptic.com,"Varioptic is the pioneer and global market leader in adjustable lens solutions. Our liquid lens technology enables manufacturers leveraging miniature cameras to offer cutting-edge functions such as ultra-fast autofocus, superior image stabilization and other innovative features for industrial, medical and consumer applications.",189,177,0,15,16,-1,-6%,16,-1,-6%,108,108,0%,116,-7%,,,,,,130,8,138,Undisclosed,2002,C,"Delphis Holdings Limited,Iris Capital,Polytechnos,Sofinnova Partners,Sofinnova Ventures,XAnge Private Equity",$0,2006-04-25,Undisclosed,Lyon,Lyon,,,France,Europe,B2B,"cleantech,hardware,hardware peripherals,healthcare,medical devices,pharmaceuticals,wind power",,No,No,No
BBOXX,bboxx.co.uk,"BBOXX designs, manufactures, and distributes plug and play solar systems.",182,-244,-261,148,151,-3,-2%,123,25,20%,"2,312","2,928",-21%,"3,855",-40%,,,,,,6,64,200,100000,2010,C,"Bamboo Finance,Bennett Coleman and Co,DOEN Foundation,ENGIE (formerly GDF SUEZ),Khosla Impact,Khosla Ventures,MacKinnon, Bennett & Co. Investeco Capital,Stichting DOEN,Synergy Growth",$39.9M,2016-08-30,"$20,000,000",London,London,London,,United Kingdom,Europe,"B2B,B2C","cleantech,energy,enterprise software,hardware,hardware peripherals,solar power,wind power",,No,No,No
Baanto,baanto.com,Baanto International offers ShadowSense multi touch screen technology which is used for numerous high-end industry solutions e.g. Digital Signage & other large format touch displays. Contact us to learn more | Baanto International Ltd.,181,168,-142,15,15,0,0%,16,-1,-6%,180,186,-3%,151,19%,,,,,,38,8,221,27149.32,2009,C,"Christie Digital Systems Canada,Difference Capital",$6.0M,2014-01-13,"$6,000,000",Mississauga,Mississauga,,ON,Canada,North America,B2B,"computer hardware,hardware,hardware peripherals,human resources hr",,No,No,No
MEMSIC,memsic.com,"Mems technology, Flow sensors, Accelerometers, Sensing technology, Inertial systems, Magnetometers, Tilt sensors",178,100,1,136,135,1,1%,139,-3,-2%,275,139,98%,400,-31%,,,,,,173,67,1584,1199.49,1998,C,IDG Capital Partners,$1.9M,2002-09-24,"$1,900,000",Boston,Andover,Boston,MA,United States,North America,B2B,"hardware,hardware peripherals,healthcare,medical devices,physical security,security,semiconductors",,No,No,No
SpectraSensors,spectrasensors.com,"SpectraSensors designs, manufactures, and sells gas analyzers designed to improve process efficiency in refineries and chemical plants.",174,139,-120,90,90,0,0%,91,-1,-1%,231,279,-17%,224,3%,,,,,,93,31,1069,5612.72,1999,C,"American River Ventures,Blueprint Ventures,Chevron Technology Ventures,Nth Power",$26.0M,2009-05-23,"$6,000,000",Rancho Cucamonga,Rancho Cucamonga,,CA,United States,North America,B2B,"biotechnology,cleantech,energy,hardware,hardware peripherals,healthcare,human resources hr,pharmaceuticals,wind power",manufacturing,No,No,No
Peraso Technologies,perasotech.com,"Peraso Technologies is a fabless semiconductor company developing multi-gigabit, millimeter wave single-chip transceivers for phones.",167,91,56,77,78,-1,-1%,72,5,7%,274,270,1%,185,48%,,,,,,10,18,126,158730.16,,C,"Celtic House Venture Partners,Integrated Device Technology,Ontario Emerging Technologies Fund,Roadmap Capital,The Ontario Capital Growth,VentureLink LP,iNovia Capital",$50.0M,2016-04-21,"$20,000,000",Toronto,Toronto,,ON,Canada,North America,B2B,"data storage,hardware,hardware peripherals,semiconductors,storage",,No,No,No
Pax Labs,paxvapor.com,PAX Labs is leading the reinvention of the smoking experience with its premium vaporizers,162,155,48,13,13,0,0%,15,-2,-13%,"272,502","280,287",-3%,"283,033",-4%,,,,,,21,3,39,1197435.9,1991,C,"Fidelity Investments,Sand Hill Angels ,Sivia Capital,Tao Capital Partners",$46.7M,2015-06-10,"$46,700,000",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2C,"e-commerce,hardware,hardware peripherals,household & personal products,personal products,retail",vaporizers,Yes,Yes,No
IMT (Innovative Micro Technology),imtmems.com,"Innovative Micro Technology (IMT) -- MEMS foundry/contract manufacturer, serving fabless and fab-light MEMS companies for MEMS wafer fabrication/foundry service with experience and resource for design, prototyping, process development, and high volume manufacturing.",152,135,430,75,74,1,1%,73,2,3%,74,71,4%,35,111%,,,,,,146,15,449,37861.92,2000,C,"Investor Growth Capital,L-3 Communications,Miramar Venture Partners,Scale Venture Partners",$22.0M,2005-01-01,"$17,000,000",Santa Barbara,Santa Barbara,,CA,United States,North America,B2B,"hardware,hardware peripherals,semiconductors",,No,No,No
QualiSystems,qualisystems.com,Quali is the leading provider of Cloud Sandboxes for automating the DevOps lifecycle. We give you control to create replicas of production environments inside of Sandboxes.,150,47,0,150,151,-1,-1%,145,5,3%,566,346,64%,543,4%,,,,,,28,60,617,12965.96,2004,C,"Altshuler Shaham,Evergreen Pacific Partners,Evergreen Venture Partners,Fishman Group,Gemini Israel Ventures,Kreos Capital,Strauss Investments,Tao Tsuot,The Fishman Group",$24.0M,2014-10-29,"$8,000,000",Santa Clara,Santa Clara,,CA,United States,North America,B2B,"data storage,hardware,hardware peripherals,information security,security,storage",quality assurance,No,No,No
AeroSat Corporation,aerosat.com,"Astronics AeroSat designs and manufactures airborne Very Small Aperture Terminal (VSAT) SATCOM connectivity solutions that deliver broadband internet, airborne datalinks, and direct broadcast satellite television to aircraft worldwide faster, more reliably and at a lower cost per bit than ever before.",149,74,-161,79,78,1,1%,65,14,22%,29,29,0%,16,81%,,,,,,67,64,1596,501.25,1997,C,"Aero Equity,CAI,North Atlantic Capital,PAR Capital Management",$45.4M,2011-08-01,"$800,000",Boston,Amherst,Boston,NH,United States,North America,B2B,"hardware,hardware peripherals,network / hosting / infrastructure,telecommunications",,No,No,No
Carl Zeiss Vision,zeiss.com,ZEISS Group,138,133,110,48,47,1,2%,,,,"419,847","420,787",0%,,,,,,,,91,1,1,42000000,2007,C,"Domain Associates,Essex Woodlands Health Ventures,Scale Venture Partners,Synergy Life Science Partner",$64.0M,2009-07-20,"$42,000,000",Oberkochen,Oberkochen,,,Germany,Europe,B2B,"hardware,hardware peripherals,healthcare,medical devices",,Yes,Yes,No
VisIC Technologies,visic-tech.com,"VisIC has successfully developed, and is bringing to market, high power GaN-based transistors and modules. The best efficiency with GaN.",132,41,-76,15,,,,,,,3,3,0%,14,-79%,,,,,,2,3,3,3866666.67,2010,C,"Birch Investment,Genesis Partners",$11.6M,2017-01-18,"$11,600,000",Rehovot,Rehovot,,,Israel,Asia,,"cleantech,hardware,hardware peripherals,healthcare,medical devices,solar power,wind power",,No,No,No
Achronix Semiconductor,achronix.com,Achronix offers high-density and high-performance application-targeted FPGAs for communication applications.,127,121,-253,77,76,1,1%,74,3,4%,706,705,0%,644,10%,,,,,,47,6,302,11701.41,2004,C,"Argonaut Partners,Battery Ventures,Easton Capital,Entrepia Ventures,New Science Ventures",$135.8M,2013-04-09,"$3,533,827",Santa Clara,Santa Clara,Bay Area,CA,United States,North America,B2B,"cleantech,hardware,hardware peripherals,semiconductors,telecommunications,wind power",,No,No,No
S2C Inc,s2cinc.com,"S2C provides a comprehensive line of rapid FPGA-based SoC and ASIC prototyping products including Altera and Xilinx FPGA prototyping boards, Prototype Ready TM IP and accessories, prototype design creation and debug software, and C-API and SCE-MI verification environment. S2C has been successfully delivering rapid SoC prototyping solutions since 2003.",126,48,0,74,63,11,17%,55,19,35%,44,,,,,,,,,,29,36,277,16606.5,2003,C,GVT Fund (Industrial Technology Investment Co),$4.6M,2014-10-14,"$4,600,000",Bay Area,San Jose,Bay Area,CA,United States,North America,B2B,"computer hardware,hardware,hardware peripherals",,No,No,No
Valens Semiconductor,valens.com,Valens is a semiconductor company developing and marketing products for the Pro AV and consumer electronic markets,125,144,25,17,24,-7,-29%,24,-7,-29%,274,127,116%,93,195%,,,,,,14,-7,0,0,2006,C,"Amiti Ventures,Genesis Partners,Magma Venture Partners (Magma VC)",$20.0M,2016-01-06,"$20,000,000",Hod Hasharon,Hod Hasharon,,,Israel,Asia,B2B,"hardware,hardware peripherals,semiconductors",,No,No,No
WiSpry,wispry.com,"WiSpry antenna tuning technology - enabling smaller wireless devices with longer battery life and better connectivity, the most advanced tunable antenna technology.",125,132,176,34,35,-1,-3%,37,-3,-8%,16,16,0%,10,60%,,,,,,40,-4,77,12987.01,2002,C,"Acadia Woods Partners,American River Ventures,Blueprint Ventures,Chart Venture Partners,DoCoMo Capital,In-Q-Tel,L Capital Partners,MuRata Manufacturing,Paladin Capital Group,Shepherd Ventures,Tech Coast Angels,Western Technology Investment",$56.8M,2013-11-12,"$1,000,000",Los Angeles,Irvine,Los Angeles,CA,United States,North America,B2B,"cleantech,hardware,hardware peripherals,semiconductors,wind power",,No,No,No
Propeller Health,propellerhealth.com,"Propeller Health's digital platform helps reduce the cost of COPD and asthma care, delivering better quality of life for patients with chronic respiratory disease.",120,21,15,59,58,1,2%,57,2,4%,"1,635","2,017",-19%,"2,965",-45%,,,,,,4,10,24,895833.33,2010,C,"3M,Hikma Ventures,Kapor Capital,SR One,Safeguard Scientifics,Social Capital",$49.9M,2016-10-20,"$21,500,000",Madison,Madison,,WI,United States,North America,"B2B,B2C","hardware,healthcare,human resources hr,medical devices,mobile,pharmaceuticals","health & wellness,medical devices",Yes,No,Yes
Availink,availink.com,,115,21,155,142,143,-1,-1%,131,11,8%,8,9,-11%,11,-27%,,,,,,100,82,2152,3252.79,2005,C,"BlueRun Ventures,New Enterprise Associates",$25.2M,2008-11-01,"$7,000,000",Germantown,Germantown,Washington D.C.,MD,United States,North America,"B2B,Direct Sales","hardware,semiconductors",,No,No,No
360Fly,360fly.com,"360fly, Inc. creates products and software for interactive 360º video experiences.",113,133,28,51,51,0,0%,59,-8,-14%,"47,301","44,837",5%,"49,324",-4%,,,,,,10,-3,36,1111111.11,,C,"Catterton Partners,Hydra Ventures,L Catterton,Qualcomm,Qualcomm Ventures",$58.0M,2016-05-05,"$40,000,000",Pittsburgh,Pittsburgh,Pittsburgh,PA,United States,North America,B2C,"consumer electronics,hardware,mobile",consumer electronics,Yes,Yes,Yes
Torqeedo,torqeedo.com,"The number one for clean outboards - Torqeedo offers electric outboard motors up to 80 hp, inboards, hybrid-systems, intelligent battery technology and accessories",108,74,4,51,52,-1,-2%,52,-1,-2%,"24,585","26,467",-7%,"35,883",-31%,,,,,,60,22,410,Undisclosed,2005,C,"Robert Bosch Venture Capital,WHEB Partners,Westbridge Fund Managers Ltd.",$0,2012-03-19,Undisclosed,Gilching,Gilching,,,Germany,Europe,B2B,"automotive,cleantech,hardware,hardware peripherals,solar power,wind power",,No,No,No
Innovium,innovium.com,Innovium is a developer of networking infrastructure products for next-generation data centers.,106,76,-504,9,9,0,0%,,,,71,72,-1%,,,,,,,,0,,,0,2015,C,"Capricorn Investment Group,Greylock Partners,Qualcomm Ventures,Redline Capital Management,S-Cubed Capital,Walden Riverwood Ventures",$88.3M,2017-03-14,"$38,300,000",San Jose,San Jose,,CA,United States,North America,B2B,"computer hardware,data storage,hardware,information security,security,storage",,No,No,No
AGAMI Family Office,agami.com,agmi Systems delivers enterprise-class unified storage systems with live file system replication and operational performance and TCO.,106,114,505,25,24,1,4%,33,-8,-24%,779,785,-1%,821,-5%,,,,,,111,-7,212,235849.06,2003,C,"Advanced Equities (AEI),Alta Partners,Apex Venture Partners,DAG Ventures,Itochu Finance,Kleiner Perkins Caufield & Byers,New Enterprise Associates,TIF Ventures Pte",$50.0M,2007-11-21,"$50,000,000",Bay Area,Sunnyvale,Bay Area,CA,United States,North America,B2B,"cleantech,e-commerce,enterprise software,finance,hardware,physical storage,storage,wind power",,No,No,No
Cnano Technology,cnanotechnology.com,Cnano Technology is dedicated to the production of carbon nanotubes and application of advanced energy.,102,97,-412,10,9,1,11%,9,1,11%,250,221,13%,251,0%,,,,,,22,1,2,7500000,,C,"CMEA Capital,GRC SinoGreen Fund,Hotung Investment Holdings Limited,IDG Capital Partners,Megatop Capitals,Midven,Naxos Capital Partners,Pangaea Ventures,Porton Capital,Presidio Ventures,Swarraton Partners,Unilever Ventures,WI Harper Group",$35.3M,2015-04-20,"$15,000,000",Bay Area,San Francisco,Bay Area,CA,United States,North America,,"cleantech,hardware,hardware peripherals,solar power",,No,No,No
Bluespec,bluespec.com,"Bluespec, Inc. manufactures an ESL synthesis toolset that significantly accelerates hardware design & reduces verification costs.",97,89,440,35,34,1,3%,40,-5,-13%,445,371,20%,378,18%,,,,,,61,7,261,5747.13,2003,C,"Atlas Venture,North Bridge",$19.8M,2012-01-26,"$1,500,000",Boston,Waltham,Boston,MA,United States,North America,B2B,"cleantech,hardware,hardware peripherals,healthcare,pharmaceuticals,wind power",,No,No,No
KIWIGRID,kiwigrid.com,"Kiwigrid, a German company, provides solutions to measure and analyze the usage of power, gas, water, and heating.",95,24,173,,,,,,,,109,241,-55%,171,-36%,,,,,,1,2,2,Undisclosed,2011,C,"AQTON SE,High-Tech Gruenderfonds,Innogy Venture Capital",$0,2017-02-02,Undisclosed,Dresden,Dresden,,,Germany,Europe,"B2B,B2C","cleantech,data storage,hardware,hardware peripherals,solar power,storage,wind power",,No,No,No
Coho Data,cohodata.com,"Coho Data delivers web-scale storage to help enterpises scale-out storage, performance while eliminating the need for fork lift upgrades for their VMware environments.",94,162,302,82,79,3,4%,84,-2,-2%,"2,621","2,959",-11%,"2,998",-13%,,,,,,21,-22,338,88757.4,2011,C,"Andreessen Horowitz,Hewlett-Packard,Ignition Partners,Intel Capital,March Capital Partners",$65.0M,2015-05-20,"$30,000,000",Santa Clara,Santa Clara,Bay Area,CA,United States,North America,B2B,"analytics,cleantech,data storage,enterprise software,hardware,information security,physical storage,security,storage,wind power",pioneer250,No,No,No
CNEX LABS,cnexlabs.com,CNEX LABS offers data storage services.,90,15,-383,67,64,3,5%,,,,40,40,0%,,,,,,,,0,0,,0,,C,"Microsoft Ventures,Sierra Ventures",$83.7M,2017-03-15,"$60,000,000",San Jose,San Jose,,CA,United States,North America,B2B,"cloud computing,data storage,hardware,hardware peripherals,physical storage,storage",,No,No,No
Digital Lumens,digitallumens.com,"Intelligent LED lighting systems, smart building solutions and IoT and sensor-based business intelligence for industrial and commercial environments.",87,107,237,92,99,-7,-7%,123,-31,-25%,"2,801","2,189",28%,"2,244",25%,,,,,,28,-9,566,40636.04,2008,C,"Aster Capital,Black Coral Capital,Flybridge Capital Partners,Goldman Sachs,Stata Venture Partners",$49.3M,2014-10-30,"$23,000,000",Boston,Boston,Boston,MA,United States,North America,B2B,"cleantech,energy,hardware,hardware peripherals,physical security,security,wind power",sustainability,No,No,No
Sckipio,sckipio.com,"Sckipio, a semiconductor start-up based in Ramat Gan, Israel is the leader in g.fast. Sckipio's G.fast modem will deliver 1Gbp/s broadband and will cut FTTH (Fiber To The Home) installation cost by half",87,59,0,48,47,1,2%,47,1,2%,18,41,-56%,52,-65%,,,,,,16,11,123,Undisclosed,2011,C,"Amiti Ventures,Aviv Venture Capital,Gemini Israel Ventures,Genesis Partners,Intel Capital,Pitango Venture Capital",$27.0M,2015-11-03,Undisclosed,Ramat Gan,Ramat Gan,,,Israel,Asia,B2B,"data storage,hardware,hardware peripherals,semiconductors,storage",,No,No,No
D-Wave Systems,dwavesys.com,D-Wave Systems designs and manufactures quantum computing and superconducting electronics.,85,6,566,154,153,1,1%,148,6,4%,"38,891","38,603",1%,"20,728",88%,,,,,,25,39,464,49784.48,1999,C,"BC Discovery Fund,BC Investment Management Corporation,BDC Venture Capital,Bezos Expeditions,British Columbia Discovery Funding,Draper Fisher Jurvetson (DFJ),Goldman Sachs,Growth Works,GrowthWorks Capital,Harris & Harris Group,In-Q-Tel,International Investment & Underwriting Limited,Kensington Capital Holdings,PenderFund Capital Management,Western Technology Investment",$117.3M,2015-01-29,"$23,100,000",Burnaby,Burnaby,,BC,Canada,North America,B2B,"biotechnology,computer hardware,hardware,hardware peripherals,semiconductors",,No,No,No
Microfabrica,microfabrica.com,"Microfabrica is an advanced technology company with a proprietary fabrication process that yields complex, metal micro-structures.",84,56,0,56,56,0,0%,55,1,2%,221,243,-9%,159,39%,,,,,,62,25,633,4739.33,,C,"Atherton Venture Partners,Chevron Technology Ventures,Draper Fisher Jurvetson (DFJ),Dynafund Ventures,InterWest Partners,Partech Ventures,Versant Ventures,Zone Ventures",$33.5M,2012-01-05,"$2,999,999",Los Angeles,Van Nuys,Los Angeles,CA,United States,North America,B2B,"energy,hardware,hardware peripherals,healthcare,medical devices,pharmaceuticals",,No,No,No
VMIX Media,vmix.com,"The vMix Software Video Mixer and Switcher is the complete live video production software solution. For more information, visit vMix online today!",81,86,0,8,8,0,0%,9,-1,-11%,"3,374","1,890",79%,"1,463",131%,,,,,,78,-4,253,9881.42,2005,C,"ATA Ventures,Enterprise Partners,JK&B Capital,Mission Ventures",$26.0M,2010-09-09,"$2,500,000",San Diego,San Diego,San Diego,CA,United States,North America,B2B,"enterprise software,hardware,hardware peripherals",video,No,No,No
RayVio,rayvio.com,"RayVio is transforming how we use UV today by offering consumer disinfection solutions that are higher performance, require less power, are portable, durable, and cost effective",80,52,-441,21,20,1,5%,17,4,24%,40,40,0%,51,-22%,,,,,,10,5,51,509803.92,2012,C,"Applied Ventures,Augment Ventures,Capricorn Investment Group,DCM Ventures,IPV Capital,New Ground Ventures,Tolero Ventures,Tsing Capital",$35.3M,2016-04-27,"$26,000,000",Bay Area,Hayward,Bay Area,CA,United States,North America,B2B,"cleantech,energy,hardware,hardware peripherals,healthcare,medical devices,pharmaceuticals,solar power,waste,wind power",,No,No,No
CoreFlow,coreflow.com,"CoreFlow provides conveying, handling and processing systems for the flat panel display and photovoltaic manufacturing industries.",78,71,52,16,15,1,7%,13,3,23%,13,13,0%,12,8%,,,,,,118,6,109,29357.8,1999,C,"Dagesh F.K.,Ofer Hi-Tech",$3.2M,2007-05-01,"$3,200,000",Yoqneam,Yoqneam,,,Israel,Asia,B2B,"cleantech,energy,hardware,hardware peripherals,semiconductors,solar power,wind power",,No,No,No
Curexo Technology,robodoc.com,"Curexo Technology develops, manufactures, and markets an image directed surgical robotic system for orthopedic surgery.",70,-26,0,134,131,3,2%,118,16,14%,118,115,3%,78,51%,,,,,,81,75,1219,10828.55,,C,,$13.2M,2010-06-01,"$13,200,000",Bay Area,Fremont,Bay Area,CA,United States,North America,B2C,"cleantech,hardware,hardware peripherals,healthcare,medical devices,medical diagnostics,pharmaceuticals,solar power,wind power",,No,No,No
Rapid Micro Biosystems,rapidmicrobio.com,Rapid Micro Biosystems can help you automate your Micro QC testing with The Growth Direct System.,65,52,0,91,93,-2,-2%,91,0,0%,207,180,15%,105,97%,,,,,,22,7,146,171232.88,2006,C,"GE Capital,Hepalink,Kleiner Perkins Caufield & Byers,Longitude Capital,Quaker Partners,Richard K. Mellon and Sons,TPG Biotech,TVM Capital,VIMAC Milestone Medical Fund",$104.4M,2015-05-01,"$25,000,000",Boston,Lowell,Boston,MA,United States,North America,B2B,"biotechnology,hardware,hardware peripherals,healthcare,human resources hr,medical diagnostics,pharmaceuticals",manufacturing,No,No,No
Surefire Medical,surefiremedical.com,Surefire Medical develops novel infusion systems for the interventional radiology market.,63,17,74,55,54,1,2%,55,0,0%,4,4,0%,14,-71%,,,,,,15,18,193,77720.21,2009,C,"High Country Venture,MCG Capital,Partisan Management Group,Tullis Health Investors",$39.3M,2015-12-02,"$15,000,000",Denver,Westminster,Denver,CO,United States,North America,B2B,"biotechnology,hardware,healthcare,human resources hr,marketing,medical devices,pharmaceuticals",,No,No,No
Neoconix,neoconix.com,"Neoconix is the leading supplier of miniaturized, low-profile, high-performance electrical connectors for mobile, enterprise IT and industrial markets.",60,62,34,19,19,0,0%,18,1,6%,5,6,-17%,11,-55%,,,,,,42,-1,80,11250,2003,C,"JP Morgan Chase & Co,Panorama Capital,US Venture Partners,Venrock,VentureTech Alliance,Walden International,Western Technology Investment",$40.7M,2013-09-17,"$900,000",Bay Area,San Jose,Bay Area,CA,United States,North America,B2B,"automotive,cleantech,hardware,hardware peripherals,wind power",,No,No,No
Clarke Industrial Engineering,clarkeindustrialengineering.com,"Clarke Industrial Engineering, a Coral Gables firm that designs and manufactures advanced high-performance industrial",56,29,52,14,15,-1,-7%,10,4,40%,2,3,-33%,15,-87%,,,,,,13,5,26,142307.69,2011,C,"Bill Pruitt,New World Angels",$4.7M,2016-02-18,"$3,700,000",North Kingstown,North Kingstown,Miami,RI,United States,North America,B2B,"cleantech,hardware,hardware peripherals,healthcare,medical devices,wind power",,No,No,No
ENOVIX,enovix.com,"ENOVIX produces its 3D wave array energy storage architecture for Lithium based cells, to improve manageability of the stored energy.",54,6,-334,64,63,1,2%,61,3,5%,6,7,-14%,11,-45%,,,,,,60,42,1321,11355.04,,C,"DCM Ventures,Qualcomm Ventures,RockPort Capital Partners,Sofinnova Ventures,Trinity Ventures",$15.0M,2012-03-07,"$15,000,003",Bay Area,Fremont,Bay Area,CA,United States,North America,B2B,"biotechnology,cleantech,energy,hardware,hardware peripherals,solar power,wind power",,No,No,No
Innovasic Semiconductor,innovasic.com,"Innovasic produces silicon and software solutions for customers with long product life-cycles including industrial automation, transportation, instrumentation, and medical applications.",54,61,193,20,21,-1,-5%,26,-6,-23%,67,39,72%,15,347%,,,,,,119,-4,52,119615.38,,C,"Grayhawk Capital,Red River Ventures,Sensor Technology,Valley Ventures",$6.2M,2007-04-03,"$6,220,000",Albuquerque,Albuquerque,,NM,United States,North America,B2B,"hardware,hardware peripherals,healthcare,medical devices,semiconductors,telecommunications",,No,No,No
ePAC Technologies,epac.com,ePAC Technologies provides printing and logistics solutions for the technology industry.,51,10,35,111,116,-5,-4%,115,-4,-3%,115,94,22%,58,98%,,,,,,79,32,215,27906.98,1999,C,"Investor Growth Capital,Menlo Ventures",$46.0M,2010-07-26,"$6,000,000",Bay Area,San Leandro,Bay Area,CA,United States,North America,B2B,"hardware,hardware peripherals",,No,No,No
TableSafe,viableware.com,"The TableSafe pay at the table solution provides your restaurant, in a familiar form, with security, guest feedback, increased revenues, EMV acceptance and more!",50,2,0,44,43,1,2%,41,3,7%,2,3,-33%,3,-33%,,,,,,23,24,318,14150.94,,C,"SoundBoard Angel Fund,Swiftsure Capital",$12.0M,2015-03-20,"$4,500,000",Seattle,Kirkland,Seattle,WA,United States,North America,B2B,"data storage,finance,hardware,hospitality,human resources hr,information security,payments,physical security,security,storage","payments,restaurants",No,No,No
