Name,Website,Description,Employee Count,Employee Count Last Month,Employees Added This Month,Employee Growth Last Mo,Employee Count 6 Months Ago,Employees Added Last 6 Months,Employee Growth Last 6 Months,Est. Monthly Uniques,Est. Monthly Uniques Week Ago,Monthly Uniques Week Over Week Growth,Est. Monthly Uniques Month Ago,Monthly Uniques Month Over Month Growth,Est. Mobile Downloads,Est. Monthly Mobile Downloads Week Ago,Monthly Mobile Downloads Week Over Week Growth,Est. Monthly Mobile Downloads Month Ago,Monthly Mobile Downloads Month Over Month Growth,Months Since Last Funding,Employees Added Since Last Funding,New Person Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Region,State,Country,Continent,Business Models,Industries,Keywords,Has Mobile App,Has Google Play App,Has iTunes App
Central Logic,centrallogic.com,Central Logic is a provider of innovative transfer center and bed management solutions in the healthcare industry.,60,59,1,2%,49,11,22%,87,84,4%,191,-54%,,,,,,7,11,69,2005,C,"Iron Gate Capital,Mercato Partners",$8.0M¾,8/3/16,Undisclosed,Salt Lake City,South Jordan,Salt Lake City,UT,United States,North America,B2B,"analytics,healthcare",,No,No,No
Centro,centro.net,Centro develops digital advertising and media management software to help advertisers streamline and scale digital campaigns.,"1,542","1,439",103,7%,"1,352",190,14%,"272,162","270,400",1%,"271,067",0%,,,,,,21,369,4876,2001,B,"FTV Capital,Grace Beauty Capital,Neuberger Berman",$52.5M¾,5/20/15,"$30,000,000 ",Chicago,Chicago,Chicago,IL,United States,North America,"Advertising,B2B,Consulting","advertising,analytics,enterprise software,human resources hr,marketing,marketing analytics,media",,Yes,Yes,No
CENX,cenx.com,CENX changes the way you view the network.,202,199,3,2%,193,9,5%,"1,171","1,214",-4%,479,144%,,,,,,19,73,875,2009,Late,"BDC Venture Capital,Cross Creek Advisors,DCM Ventures,Ericsson,Ericsson Venture Partners,Highland Capital Partners,Mesirow Financial,Mistral Venture Partners,VMware,Verizon Ventures",$22.0M¾,8/11/15,"$12,500,000 ",New York,Jersey City,New York,NJ,United States,North America,B2B,"analytics,data storage,human resources hr,information security,security,storage,telecommunications",,No,No,No
Chainalytics,chainalytics.com,"Chainalytics, a leader in supply chain consulting, analytics, and market intelligence, helps its clients capture the maximum value from their supply chains.",217,214,3,1%,210,7,3%,"1,813","1,668",9%,"1,567",16%,,,,,,57,91,1845,2001,Late,Global Environment Fund,$10.0M¾,6/13/12,"$10,000,000 ",Atlanta,Atlanta,Atlanta,GA,United States,North America,"B2B,Consulting","analytics,cleantech,transportation,wind power",,No,No,No
Chalkable,chalkable.com,For everyday learning,22,21,1,5%,13,9,69%,"6,886","5,737",20%,"1,961",251%,,,,,,54,17,147,1982,Exited (acquired),"500 Startups,500 Startups Batch 4 (Spring 2012),Expansion Venture Capital,Prolific Venture Capital",$1.3M¾,9/4/12,"$1,300,000 ",New York,New York,New York,NY,United States,North America,B2C,"analytics,education,human resources hr","high school students,schools,teachers",No,No,No
ChannelAdvisor,channeladvisor.com,Cloud-based e-commerce solutions that enable retailers and branded manufacturers to increase global sales across online channels,636,643,-7,-1%,676,-40,-6%,"1,139,102","1,139,995",0%,"1,121,001",2%,,,,,,102,157,4275,2001,Exited (acquired),"Advanced Technology Ventures,Kodiak Venture Partners,Lightspeed Venture Partners,New Enterprise Associates,Southern Capitol Ventures,eBay",$75.0M¾,9/5/08,"$20,000,000 ",Raleigh,Morrisville,Raleigh,NC,United States,North America,"B2B,B2C,Marketplace","analytics,e-commerce,enterprise software,marketing,marketing analytics,retail,search",,No,No,No
Chartio,chartio.com,"Know your business, grow your business. Chartio empowers the entire company to understand its data through powerful analysis and easy to create dashboards.",31,30,1,3%,30,1,3%,"445,166","436,148",2%,"409,758",9%,,,,,,37,20,501,2010,B,"Avalon Ventures,Bill Boebel,Bullpen Capital,Crosslink Capital,DreamHost,Founders Den,Great Oaks Venture Capital,Jeff Hammerbacher,Kenny Van Zant,Matt Ocko,Y Combinator,YC Summer 2010",$6.6M¾,1/22/14,"$2,200,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,Consulting,SaaS","analytics,data storage,enterprise software,finance,human resources hr,marketing,marketing analytics,storage",business intelligence,No,No,No
Checkmarx,checkmarx.com,Source code analysis technologies,268,255,13,5%,224,44,20%,"54,026","54,691",-1%,"59,594",-9%,,,,,,20,170,1614,2006,Late,"Insight Venture Partners,Ofer Hi-Tech,Salesforce,Salesforce Ventures,XT Investments",$92.0M¾,6/25/15,"$84,000,000 ",New York,New York,New York,NY,United States,North America,B2B,"analytics,data storage,enterprise software,human resources hr,information security,physical security,security,software development,storage",,No,No,No
Checkr,checkr.com,Checkr seeks to automate the process of professional background checks.,90,90,0,0%,67,23,34%,12,10,20%,14,-14%,,,,,,11,45,340,2014,B,"Accel Partners,Bobby Yazdani,Data Collective,David Spector,DoubleRock,Elad Gil,Google Ventures,Institutional Venture Partners (IVP),Khosla Ventures,SV Angel,Y Combinator,YC Summer 2014",$49.0M¾,3/23/16,"$40,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"analytics,data storage,enterprise software,finance,human resources hr,information security,physical security,security,storage",,No,No,No
Chinac.com,chinac.com,Chinac.com is a Chinese domestic cloud computing infrastructure operator that provides IT solutions and outsourcing services.,60,54,6,11%,,,,"382,860","379,724",1%,"367,129",4%,,,,,,20,49,225,2010,C,"Haitong Securities (Lending Capital Management),Intel Capital",$100.0M¾,7/19/15,"$100,000,000 ",Wuxi,Wuxi,,,China,Asia,B2B,"analytics,cloud computing,enterprise software,transportation",,No,No,No
choozle,choozle.com,Choozle is a digital marketing and advertising platform available to clients across the country. We make digital advertising easy and simple. Learn more here!,38,39,-1,-3%,33,5,15%,"8,232","7,622",8%,"3,746",120%,,,,,,2,4,8,2012,B,Great Oaks Venture Capital,$7.0M¾,1/10/17,"$2,400,000 ",Denver,Denver,Denver,CO,United States,North America,"Advertising,B2B,SaaS","advertising,analytics,e-commerce,human resources hr,marketing,marketing analytics,media","agency,big data,social commerce,social media",No,No,No
Chorus.ai,chorus.ai,"Chorus.ai records, transcribes and analyzes you sales conversations in real-time, highlighting important moments and revealing why you win and lose deals.",19,17,2,12%,,,,,,,,,,,,,,1,6,6,,B,"Emergence Capital Partners,Redpoint Ventures",$22.3M¾,2/7/17,"$16,000,000 ",,,,,,,,"analytics,marketing,marketing analytics",,No,No,No
City Chatter,citychatter.com,"Mobile, geo-social network",0,1,-1,-100%,1,-1,-100%,3,3,0%,3,0%,,,,,,,,,2011,Exited (other),,Undisclosed,,Undisclosed,Bay Area,San Rafael,Bay Area,CA,United States,North America,,"analytics,finance,gaming,marketing,marketing analytics,mobile","location based services (lbs),social media",No,No,No
Civitas Learning,civitaslearning.com,"By building a community of forward-thinking higher education institutions, Civitas Learning brings together the best of education technology, design thinking, insight and action analytics, and data science in its mission to help a million more college students learn well and finish strong.",228,226,2,1%,220,8,4%,"9,914","10,057",-1%,"8,226",21%,,,,,,17,80,963,2011,Late,"Austin Ventures,Emergence Capital Partners,Felicis Ventures,First Round Capital,Floodgate Fund,Gera Venture,New Markets Venture Partners,Rethink Education,SJF Ventures,Warburg Pincus",$91.9M¾,9/28/15,"$60,000,000 ",Austin,Austin,Austin,TX,United States,North America,B2B,"analytics,education,enterprise software,human resources hr",big data,No,No,No
ClearChannelOutdoor,clearchanneloutdoor.com,"Clear Channel Outdoor is an Out of Home media advertising company, providing billboards and much more.","2,285",,,,,,,"18,853","18,284",3%,"16,653",13%,,,,,,,,,1901,Exited (ipo),,Undisclosed,,Undisclosed,New York,New York,New York,NY,United States,North America,,"advertising,analytics,marketing,marketing analytics",,No,No,No
ClearSlide,clearslide.com,"ClearSlide is the most complete, intuitive Sales Engagement Platform that integrates content, communications and actionable insights to improve results.",178,181,-3,-2%,201,-23,-11%,"666,725","663,891",0%,"677,290",-2%,,27,,187,,36,-57,981,2009,C,"Bessemer Venture Partners,Comcast Ventures,Felicis Ventures,Floodgate Fund,Greylock Partners,Silicon Valley Bank,Social Capital,Toba Capital",$89.0M¾,2/27/14,"$50,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,B2C,Consulting,SaaS","analytics,enterprise software,gaming,human resources hr,information security,marketing,marketing analytics,security","gambling,sales",Yes,Yes,Yes
Clearspring,clearspring.com,,150,152,-2,-1%,142,8,6%,27,27,0%,25,8%,,,,,,,,,2004,Late,Pejman Nozad,$0¾,,Undisclosed,Washington D.C.,Washington D.C.,Washington D.C.,DC,United States,North America,,"advertising,analytics,marketing,marketing analytics",,No,No,No
ClearStory Data,clearstorydata.com,ClearStory Data introduces The New World of Data Intelligence,51,50,1,2%,51,0,0%,"7,304","7,618",-4%,"5,929",23%,,,,,,35,17,514,2011,B,"Andreessen Horowitz,DAG Ventures,Google Ventures,KPCB Edge,Khosla Ventures,Kleiner Perkins Caufield & Byers",$30.0M¾,3/31/14,"$21,000,000 ",Bay Area,Menlo Park,Bay Area,CA,United States,North America,B2B,"analytics,data storage,enterprise software,human resources hr,machine learning,marketing,marketing analytics,storage",pioneer250,No,No,No
ClickTale,clicktale.com,"ClickTale is the industry leader in Customer Experience Analytics (CEA), providing businesses with revolutionary insights into their customersŠ—È online behavior.",240,233,7,3%,217,23,11%,"599,183","605,579",-1%,"605,654",-1%,,,,,,25,77,1046,2006,C,"Amadeus Capital Partners,Goldrock Capital,KKR,Viola Group,YL Ventures",$60.0M¾,1/28/15,"$35,000,000 ",Tel Aviv,Tel Aviv,,,Israel,Asia,B2B,"analytics,customer support,enterprise software,human resources hr,marketing,marketing analytics",,No,No,No
Cloud4Wi,cloud4wi.com,"Cloud4Wi is an award-winning company that revolutionizes Guest Wi-Fi at retail stores, restaurants, shopping malls and other venues.",70,69,1,1%,63,7,11%,"77,254","71,554",8%,"63,217",22%,,,,,,12,20,136,2013,B,,$8.0M¾,3/18/16,"$8,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,Marketplace","advertising,analytics,information security,security,telecommunications","cloud computing,collisionconf2015,local,wireless",No,No,No
Cloudera,cloudera.com,Cloudera is the leader in Apache Hadoop-based software and services and offers a powerful new data platform that enables enterprises and organizations to look at all their data ã structured as well as unstructured ã and ask bigger questions for unprecedented insight at the speed of thought.,"1,585","1,542",43,3%,"1,439",146,10%,"888,270","901,097",-1%,"901,615",-1%,,,,,,51,1212,26069,2008,Late,"Accel Partners,DAG Ventures,Diane Greene,Glynn Capital Management,Greylock Partners,Ignition Partners,In-Q-Tel,Marten Mickos,Meritech Capital Partners,SV Angel",$141.0M¾,12/6/12,"$65,000,000 ",Bay Area,Palo Alto,Bay Area,CA,United States,North America,B2B,"analytics,data storage,enterprise software,human resources hr,information security,marketing analytics,software development,storage","big data,hadoop",No,No,No
CloudHealth Technologies,cloudhealthtech.com,"CloudHealth is IT service management for the cloud, enabling policy driven cost, utilization, performance and security optimization and governance.",130,127,3,2%,118,12,10%,"7,235","6,492",11%,"5,646",28%,,,,,,10,58,358,2012,C,".406 Ventures,Sapphire Ventures,Scale Venture Partners,Sigma Partners,Sigma Prime Ventures",$36.5M¾,5/3/16,"$20,000,000 ",Boston,Boston,Boston,MA,United States,North America,"B2B,SaaS","analytics,cloud computing,data storage,enterprise software,finance,human resources hr,information security,marketing,marketing analytics,security,storage","big data,cloud computing,it",No,No,No
Clustrix,clustrix.com,Scale-out RDBMS,53,54,-1,-2%,55,-2,-4%,"11,871","11,128",7%,"11,810",1%,,,,,,43,-10,390,2006,Late,"ATA Ventures,Don Listwin,HighBar Partners,Sequoia Capital,US Venture Partners,Y Combinator,YC Winter 2006",$47.8M¾,8/19/13,"$10,000,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,B2B,"analytics,cloud computing,data storage,enterprise software,information security,network / hosting / infrastructure,security,storage","big data,cloud computing,databases",No,No,No
Co2b.in,co2b.in,Smart Energy Solutions,,,,,,,,4,12,-67%,14,-71%,,,,,,,,,,Exited (other),,Undisclosed,,Undisclosed,India,,,,India,Asia,,"analytics,cleantech,energy","solar,sustainability",No,No,No
CoderBuddy,coderbuddy.com,Coderbuddy is a free web service that enables users to easily create and publish applications and websites on Google's servers.,,,,,,,,17,10,70%,3,467%,,,,,,65,,,,Exited (other),"500 Startups,Barney Pell,Dan Gould,Dave McClure,David Jeske,Derek Sivers,Joe Gatto",$0¾,10/1/11,Undisclosed,Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,Consulting","analytics,education,finance,human resources hr,marketing,marketing analytics,publishing,software development","cloud computing,developer tools,development platform",No,No,No
Cognizant Technology Solutions,cognizant.com,"Cognizant (NASDAQ-100: CTSH) is a world-leading professional services company, transforming business, operating and IT models for the digital era.","163,814","160,586","3,228",2%,"151,479","12,335",8%,"1,477,325","1,488,040",-1%,"1,530,691",-3%,,864,,864,,,,,1994,Exited (ipo),,Undisclosed,,Undisclosed,New York,Teaneck,New York,NJ,United States,North America,B2B,"analytics,enterprise software,finance,hospitality,human resources hr",fortune 500,Yes,No,Yes
Coho Data,cohodata.com,"Coho Data delivers web-scale storage to help enterpises scale-out storage, performance while eliminating the need for fork lift upgrades for their VMware environments.",82,79,3,4%,84,-2,-2%,"2,621","2,959",-11%,"2,998",-13%,,,,,,21,-22,338,2011,C,"Andreessen Horowitz,Hewlett-Packard,Ignition Partners,Intel Capital,March Capital Partners",$65.0M¾,5/20/15,"$30,000,000 ",Santa Clara,Santa Clara,Bay Area,CA,United States,North America,B2B,"analytics,cleantech,data storage,enterprise software,hardware,information security,physical storage,security,storage,wind power",pioneer250,No,No,No
Collabera,collabera.com,"Collabera offers comprehensive, cost-effective IT staffing & IT Services to Fortune 500 and mid-size companies. Collabera offers high quality IT resources to meet talent needs through Staff Augmentation, Global Talent Management, Value Added Services through CLASS (Competency Leveraged Advanced Staffing & Solutions) Permanent Placement Services and Vendor Management Programs.","5,417","5,201",216,4%,"5,022",395,8%,"230,227","235,962",-2%,"248,126",-7%,,,,,,130,1856,44330,1991,Late,Oak Investment Partners,$30.0M¾,5/4/06,"$30,000,000 ",New York,Morristown,New York,NJ,United States,North America,"B2B,Consulting","analytics,e-commerce,enterprise software,finance,human resources hr,telecommunications",,No,No,No
Collective Bias,collectivebias.com,Publishes user-generated content with a multi-channel reach of more than 130 million that increases sales for brands and retailers.,216,216,0,0%,196,20,10%,"17,933","19,618",-9%,"21,931",-18%,,,,,,47,105,2117,2009,Exited (acquired),"Ken Barnett,Updata Partners",$10.9M¾,4/2/13,"$10,500,000 ",Rogers,Rogers,,AR,United States,North America,"B2B,B2C","advertising,analytics,marketing,marketing analytics","content,content marketing,social media",No,No,No
Collective Digital Studio,collectivedigitalstudio.com,Collective Digital Studio is a multi-channel video network across multiple platforms.,161,161,0,0%,142,19,13%,"6,326","5,858",8%,"5,528",14%,,,,,,35,107,1150,2011,Exited (acquired),,$0¾,3/27/14,$0 ,Los Angeles,Beverly Hills,Los Angeles,CA,United States,North America,"B2B,B2C","analytics,gaming,human resources hr,marketing,marketing analytics",youtube,No,No,No
Collibra,collibra.com,"Learn how Collibra, the leader in data governance, makes it easy for all data citizens to find, understand, and trust their data. Request a demo now.",186,184,2,1%,165,21,13%,"2,112","2,135",-1%,"1,664",27%,,,,,,2,15,15,2008,C,"Battery Ventures,Bi3 Solutions,Brustart,Dawn Capital,Iconiq Capital,Index Ventures,Newion Investments",$74.3M¾,1/18/17,"$50,000,000 ",Brussels,Brussels,New York,,Belgium,Europe,"B2B,SaaS","analytics,data storage,enterprise software,finance,marketing,marketing analytics,storage",,No,No,No
Commission Junction,cj.com,"Commision Junction,Inc was added in 2013.",545,539,6,1%,511,34,7%,"3,845,299","3,856,066",0%,"3,901,663",-1%,,,,,,,,,1998,Exited (acquired),,Undisclosed,,Undisclosed,Santa Barbara,Santa Barbara,,CA,United States,North America,"Affiliate,B2B,Lead Generation","advertising,analytics,consulting,e-commerce,hospitality,marketing,marketing analytics,search","marketing,performance marketing,ppc,reviews & recommendations,search,search marketing,sem,seo",Yes,Yes,No
Comparably,comparably.com,"Comparably provides the most accurate and comprehensive compensation and culture data, to understand employees' true value and needs to make work better.",15,15,0,0%,13,2,15%,,,,,,,,,,,1,3,3,2015,B,"500 Startups,Accelerator Ventures,Alpha Edison,BAM Ventures,Comcast Ventures,Cornerstone OnDemand,Crosscut Ventures,Crosslink Capital,David Sacks,Greycroft Partners,Lowercase Capital,Ludlow Ventures ,Rincon Venture Partners,Upfront Ventures",$13.8M¾,1/30/17,"$7,250,000 ",Los Angeles,Santa Monica,Los Angeles,CA,United States,North America,B2B,"analytics,finance,human resources hr",,No,No,No
Complete Genomics,completegenomics.com,"Complete Genomics, a life sciences company, develops and commercializes a DNA sequencing platform for human genome sequencing and analysis.",202,211,-9,-4%,257,-55,-21%,"8,116","8,192",-1%,"8,150",0%,,,,,,79,0,1698,2006,Exited (ipo),"Enterprise Partners,Essex Woodlands Health Ventures,OVP Venture Partners,OrbiMed Advisors,Prospect Venture Partners,Sands Capital Ventures",$90.0M¾,8/19/10,"$39,000,000 ",Bay Area,Mountain View,Bay Area,CA,United States,North America,B2B,"analytics,biotechnology,healthcare,medical diagnostics,pharmaceuticals",,No,No,No
Comprehend Systems,comprehend.com,"Continuously optimize a portfolio of clinical trials to improve speed and quality across teams, sites and CROs.",63,64,-1,-2%,65,-2,-3%,"1,833","1,972",-7%,"1,707",7%,,,,,,1,-1,1,2010,C,"Aaron Levie,Alexis Ohanian,Crosslink Capital,Easton Capital,Eminence Capital,Farzad (Zod) Nazem,Garry Tan,Josh Abrams,Life Sciences Angel Network,Lightspeed Venture Partners,Menlo Ventures,Nils Johnson,Paul Buchheit,Quotidian Ventures,SV Angel,Sequoia Capital,Shervin Pishevar,Start Fund,Y Combinator,YC Winter 2011,Yuri Milner,Zorba Lieberman",$45.6M¾,2/6/17,"$15,000,000 ",Bay Area,Redwood City,Bay Area,CA,United States,North America,"B2B,SaaS","analytics,enterprise software,healthcare,human resources hr,marketing,marketing analytics,pharmaceuticals",big data,No,No,No
Comr.se,comr.se,The Comr.se API gives developers the tools to integrate with Payments & Commerce platforms to power product experiences everywhere.,325,311,14,5%,232,93,40%,830,477,74%,361,130%,,,,,,31,537,3483,2012,Late,"9Mile Labs,Dave Brown,Geoff Entress,Rudy Gadre",$2.0M¾,7/22/14,"$800,000 ",Seattle,Seattle,Seattle,WA,United States,North America,"B2B,B2C,SaaS","advertising,analytics,e-commerce,finance,marketing,payments","apis,facebook,hadoop,social commerce,social media,twitter",No,No,No
ConcilioLabs,conciliolabs.com,Concilio Labs uses technology to advance hotel - guest relationships. We use actionable data to personalize guest experiences via a proprietary CRM.,7,7,0,0%,7,0,0%,349,340,3%,217,61%,,,,,,29,0,3,2013,Exited (other),,"$500,000¾",10/1/14,"$500,000 ",Mclean,Mclean,Washington D.C.,VA,United States,North America,B2B,"analytics,hospitality,marketing,marketing analytics",,No,No,No
Confluent,confluent.io,"Confluent offers a real-time stream data platform m powered by Apache Kafka, that enables high-throughput, scalable, reliable and low latency stream data management.",106,101,5,5%,81,25,31%,"104,873","106,726",-2%,"100,240",5%,,,,,,0,12,0,2014,C,"Benchmark,Data Collective,Index Ventures,LinkedIn,Sequoia Capital",$80.9M¾,3/7/17,"$50,000,000 ",Bay Area,Mountain View,Bay Area,CA,United States,North America,B2B,"analytics,data storage,enterprise software,finance,marketing,marketing analytics,software development,storage","big data,data management,open source",No,No,No
Constant Contact,constantcontact.com,"With Constant Contact, you can create effective email marketing and other online marketing campaigns to meet your business goals. Start your FREE trial today!","1,310","1,274",36,3%,"1,108",202,18%,"8,875,442","8,908,622",0%,"9,192,947",-3%,454,758,-40%,677,-33%,81,172,2884,1998,Exited (acquired),"DFJ Gotham Ventures,Greylock Partners,Hudson Ventures,Investor Growth Capital,Kindred Partners,Longworth Venture Partners,Springboard Enterprises",$3.7M¾,6/3/10,"$3,659,714 ",Boston,Waltham,Boston,MA,United States,North America,"B2B,SaaS","advertising,analytics,email,enterprise software,human resources hr,marketing,marketing analytics","digital marketing,email marketing,small & medium sized business,social media marketing",Yes,Yes,Yes
ContentSquare,contentsquare.com,ContentSquare is the specialist for optimizing Web and mobile sites.,119,109,10,9%,84,35,42%,,,,,,,,,,,5,33,58,2009,B,Highland Capital Partners Europe,$20.0M¾,10/18/16,"$20,000,000 ",Paris,Paris,,,France,Europe,B2B,"analytics,marketing,marketing analytics",,No,No,No
Continuum Analytics,continuum.io,"Continuum Analytics develops Anaconda, the leading modern open source analytics platform powered by Python. Continuumês Python-based platform and consulting services empower organizations to analyze, manage and visualize big data - turning massive datasets into actionable insights and business value.",116,118,-2,-2%,123,-7,-6%,"332,824","331,599",0%,"324,159",3%,,,,,,19,44,757,2012,Late,"BuildGroup,Defense Advanced Research Projects Agency,General Catalyst Partners",$29.3M¾,7/23/15,"$24,000,000 ",Austin,Austin,Austin,TX,United States,North America,B2B,"analytics,enterprise software,marketing,marketing analytics","big data,data visualization,open source",No,No,No
Convio,convio.com,"World's best Fundraising, P2P, Marketing, Advocacy and CRM Software for NonProfits - Online Fundraising, Donor Management & Database, Email Marketing, Advocacy, Peer to peer. Convio + Blackbaud Raiser's Edge Integration.",83,83,0,0%,82,1,1%,"17,093","16,399",4%,"570,120",-97%,,,,,,118,-15,457,1999,Exited (ipo),"Adams Street Partners,Adobe Ventures,Austin Ventures,El Dorado Ventures,Granite Ventures,Imperial Bank,Pacific Partners,Rembrandt Venture Partners,Silverton Partners",$10.2M¾,5/16/07,"$10,150,000 ",Austin,Austin,Austin,TX,United States,North America,B2B,"analytics,crowdfunding,finance,marketing,marketing analytics",,No,No,No
CoreLogic,corelogic.com,"CoreLogic (NYSE: CLGX) is a leading provider of consumer, financial and property information, analytics and services to business and government.","3,813","3,828",-15,0%,"3,905",-92,-2%,"253,293","256,292",-1%,"266,782",-5%,,,,,,,,,2010,Exited (ipo),,Undisclosed,,Undisclosed,Los Angeles,Irvine,Los Angeles,CA,United States,North America,B2B,"analytics,finance,insurance,real estate",,Yes,Yes,No
Corelytics,corelytics.com,"CoreConnex is the producer of Corelytics, a predictive analytics financial dashboard for small businesses.",5,4,1,25%,5,0,0%,32,38,-16%,26,23%,,,,,,45,2,16,2005,Exited (other),,"$100,000¾",6/1/13,"$100,000 ",Seattle,Bellevue,Seattle,WA,United States,North America,"B2B,SaaS","analytics,finance,marketing,marketing analytics",,No,No,No
Corsis,corsis.com,"Corsis is a patent-pending technology scoring platform that provides organizations with a best-practices tool, which fosters the alignment of IT investment with business performance.",20,20,0,0%,18,2,11%,"3,067","3,425",-10%,"3,140",-2%,,,,,,,,,1993,Exited (acquired),,Undisclosed,,Undisclosed,New York,New York,New York,NY,United States,North America,"B2B,Consulting","analytics,finance",it,No,No,No
Cosential,cosential.com,"Cosential is the leading CRM and proposal tool for construction, architecture, and engineering firms.",38,38,0,0%,36,2,6%,"6,844","6,491",5%,"4,707",45%,,,,,,177,13,181,1999,B,,"$250,000¾",6/1/02,"$250,000 ",Austin,Austin,Austin,TX,United States,North America,"B2B,SaaS","analytics,enterprise software,human resources hr,marketing,marketing analytics","collaboration,crm,iphone,productivity,project management,relationship management,sales",No,No,No
CoStar Group,costargroup.com,"CoStar Group, Inc. provides information, analytics and marketing services to the multifamily and commercial real estate industry with leading brands including LoopNet, Apartments.com, LandsofAmerica and BizBuySell.","2,838","2,804",34,1%,"2,600",238,9%,,,,,,,,,,,,,,1987,Exited (ipo),Western Technology Investment,$0¾,,Undisclosed,Washington D.C.,Washington D.C.,Washington D.C.,DC,United States,North America,B2B,"analytics,real estate",it,Yes,No,Yes
Counsyl,counsyl.com,Project Manager,453,448,5,1%,440,13,3%,"81,756","83,476",-2%,"91,914",-11%,,,,,,34,266,6187,2007,Late,"Aarin Capital,Aydin Senkut,Felicis Ventures,Founders Fund,Goldman Sachs,Gramercy Fund,Great Oaks Venture Capital,Keith Rabois,Rosemont Group Capital Partners",$39.0M¾,5/8/14,"$28,000,000 ",Bay Area,South San Francisco,Bay Area,CA,United States,North America,"B2B,B2C","analytics,biotechnology,consumer services,healthcare,medical diagnostics,pharmaceuticals",,No,No,No
CourseTrends,coursetrends.com,"CourseTrends is a leading provider of intelligent online golf marketing solutions. CourseTrends' tools include customized websites, email marketing, social media management, e-commerce, and much more.",30,,,,,,,,,,,,,,,,,22,0,,,Exited (acquired),"Midwest Mezzanine,Salt Creek Capital",$0¾,4/23/15,Undisclosed,Austin,Austin,Austin,TX,United States,North America,B2B,"analytics,marketing,marketing analytics",,Yes,Yes,Yes
CoverHound,coverhound.com,Compare car insurance on the web or over the phone with the coverage experts at CoverHound. Quote and buy policies from the top insurance carriers directly from CoverHound.,86,83,3,4%,68,18,26%,"23,626","23,630",0%,"23,318",1%,,,,,,17,54,470,2010,C,"ACE & Company,American Family Ventures,AngelPad,AngelPad Spring 2010,Blumberg Capital,Bullpen Capital,Core VC,Paul Sethi,RRE Ventures,Route 66 Ventures,Source Interlink Companies,Thomas Lehrman,Tugboat Ventures",$56.7M¾,9/22/15,"$33,300,000 ",Bay Area,San Francisco,Bay Area,CA,United States,North America,"B2B,B2C,Lead Generation,Marketplace","analytics,automotive,consumer services,enterprise software,finance,human resources hr,insurance",consumer goods,No,No,No
Creative Web Ideaz SEO Company in India,creativewebideaz.com,Best Canadian SEO offers top quality SEO Canada services. If you are looking to get more traffic to your website then visit us today.,,,,,,,,35,,,,,,,,,,,,,2000,Exited (other),,Undisclosed,,Undisclosed,New Delhi,New Delhi,,,India,Asia,,"analytics,finance,human resources hr,marketing,marketing analytics,payments",,No,No,No
CRF Health,crfhealth.com,CRF Health creates electronic Clinical Outcome Assessment (eCOA) and electronic Patient-Reported Outcome (ePRO) solutions that are effective. Learn more now!,462,454,8,2%,416,46,11%,731,762,-4%,899,-19%,,,,,,26,196,3141,2000,Exited (acquired),Vitruvian Partners,$0¾,1/8/15,$0 ,Hammersmith,Hammersmith,Philadelphia,,United Kingdom,Europe,B2B,"analytics,biotechnology,healthcare,human resources hr,pharmaceuticals",,No,No,No
Crimson Hexagon,crimsonhexagon.com,"Crimson Hexagon is an enterprise social media analytics company providing insights for brand strategy, market research, and more.",232,224,8,4%,188,44,23%,"276,545","274,554",1%,"249,450",11%,,,,,,12,107,834,2007,C,"Charles F. Dolan,Golden Seeds,Sageview Capital,Springboard Enterprises",$30.5M¾,3/7/16,"$20,000,000 ",Boston,Boston,Boston,MA,United States,North America,"B2B,B2C","advertising,analytics,enterprise software,human resources hr,marketing,marketing analytics,social networking","brand marketing,social media",No,No,No
Crisp Media,crispmedia.com,"The Mobile Shopper Activation Company - With Crisp, CPG and retail brands can harness the full power of mobile marketing to drive sales with proven results.",60,61,-1,-2%,61,-1,-2%,"5,711","5,886",-3%,"6,693",-15%,,,,,,70,7,121,2003,C,"EDBI,Intel Capital,Meritage Funds",$11.0M¾,4/28/11,"$6,000,000 ",New York,New York,New York,NY,United States,North America,B2B,"advertising,analytics,internet of things,marketing,marketing analytics,media,mobile","mobile advertising,mobile marketing",No,No,No
Criteo,criteo.com,Criteo's state-of-the-art technology transforms digital advertising into a personal experience that drives better results.,"1,772","1,725",47,3%,"1,489",283,19%,"5,264,703","5,310,849",-1%,"5,354,840",-2%,,,,,,53,1109,14359,2005,Exited (acquired),"Adams Street Partners,Bessemer Venture Partners,Elaia Partners,IDInvest Partners,Index Ventures,Sapphire Ventures,SoftBank Capital",$63.4M¾,9/25/12,"$40,000,000 ",Paris,Paris,,NY,France,Europe,B2B,"advertising,analytics,enterprise software,human resources hr,marketing,marketing analytics",ppc,No,No,No
